                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5497,                 2.2674,                0.28447,                0.24339,                0.22509,                0.13462,                0.03922,                 1.1242,                0.62227,                0.10143,             0.00066536,             0.00066536,             0.00066536
                      2,                 1.1803,                0.60481,                0.11765,                0.32704,                0.27049,                0.19714,                0.06209,                 1.0614,                0.60249,                0.08393,              0.0013176,              0.0013176,              0.0013176
                      3,                   1.14,                0.61677,                0.11116,                0.33635,                0.27049,                0.21595,                0.06967,                 1.0293,                0.64317,                0.07703,              0.0019132,              0.0019132,              0.0019132
                      4,                 1.1404,                0.60088,                0.10322,                0.34893,                0.28752,                0.22833,                0.07363,                  1.072,                0.57814,                0.08218,              0.0018109,              0.0018109,              0.0018109
                      5,                 1.1194,                0.60135,                0.09949,                 0.3597,                0.28941,                0.22693,                0.06973,                 1.0799,                0.58191,                 0.0882,              0.0018109,              0.0018109,              0.0018109
                      6,                 1.1082,                0.59931,                0.09781,                0.41637,                0.28815,                0.25351,                0.07136,                 1.0517,                0.57766,                0.07979,              0.0016724,              0.0016724,              0.0016724
                      7,                 1.0907,                0.60556,                0.09507,                0.38273,                0.29634,                0.24896,                 0.0783,                 1.0606,                0.56403,                0.07779,               0.001505,               0.001505,               0.001505
                      8,                 1.0736,                0.60437,                0.08787,                0.40881,                0.30454,                0.26645,                0.10237,                0.98352,                0.62085,                0.06834,              0.0013159,              0.0013159,              0.0013159
                      9,                 1.0662,                0.60139,                0.08785,                0.44023,                 0.3124,                0.27003,                0.09425,                 1.0288,                0.57223,                0.07334,              0.0011135,              0.0011135,              0.0011135
                     10,                 1.0418,                 0.6118,                0.08086,                0.46717,                0.32598,                0.29609,                0.09684,                 1.0305,                0.56291,                0.07175,             0.00090652,             0.00090652,             0.00090652
                     11,                0.96927,                0.62946,                0.07411,                 0.4804,                0.30643,                 0.3055,                 0.1083,                0.99054,                0.58824,                0.07042,             0.00070407,             0.00070407,             0.00070407
                     12,                0.95092,                 0.6289,                0.07061,                 0.4509,                0.32535,                0.30573,                 0.1088,                 0.9967,                0.57468,                0.06895,               0.000515,               0.000515,               0.000515
                     13,                0.92896,                0.63624,                0.07293,                0.49009,                0.33607,                0.32666,                0.11176,                 0.9828,                0.57947,                0.06714,             0.00034756,             0.00034756,             0.00034756
                     14,                0.92902,                 0.6223,                0.06689,                0.52218,                0.34237,                0.34553,                0.11931,                0.98539,                0.57472,                0.06631,             0.00020907,             0.00020907,             0.00020907
                     15,                0.93361,                 0.6076,                0.06983,                0.51684,                0.34802,                0.34478,                0.12382,                0.97202,                0.57292,                0.06454,             0.00010559,             0.00010559,             0.00010559
